Gender,Own_Car,Own_Realty,Children_Count,Annual_Income,Income_Type,Education_Level,Family_Status,Housing_Type,Age_Years,Employment_Years,Has_Work_Phone,Has_Phone,Has_Email,Family_Members,Overdue_Months,Target_Reject
M,Y,N,0,57700.0,Commercial associate,Secondary,Single,House / apartment,24.4,9.5,0,0,1,2,0,0
F,Y,Y,2,185100.0,Commercial associate,Secondary,Married,House / apartment,48.0,2.5,0,0,1,4,0,0
F,Y,Y,0,114000.0,Working,Secondary,Married,House / apartment,31.5,3.8,0,1,1,2,0,0
F,Y,Y,2,58100.0,State servant,Secondary,Separated,House / apartment,39.2,0.1,0,1,1,4,0,1
M,Y,N,0,154700.0,Commercial associate,Lower secondary,Widow,With parents,52.0,15.0,0,0,1,2,2,0
M,Y,Y,1,77300.0,Working,Secondary,Married,House / apartment,44.0,2.8,0,1,0,3,2,0
M,Y,Y,1,102600.0,Pensioner,Secondary,Single,House / apartment,61.4,0.0,0,1,0,3,0,0
F,N,Y,0,59600.0,Working,Secondary,Married,House / apartment,55.4,5.6,0,1,1,1,3,1
F,N,N,0,45700.0,Commercial associate,Secondary,Married,Municipal apartment,28.6,4.5,0,1,1,2,0,0
F,Y,Y,0,46900.0,Working,Secondary,Married,Rented apartment,46.5,3.1,0,1,0,1,1,1
M,N,N,1,60400.0,Pensioner,Secondary,Married,House / apartment,41.7,0.0,0,1,0,3,0,0
F,N,N,0,94500.0,Working,Secondary,Civil marriage,House / apartment,53.1,2.7,0,1,0,2,0,0
F,N,Y,1,63000.0,Commercial associate,Secondary,Married,House / apartment,45.8,38.5,0,1,0,3,0,0
M,N,Y,1,49200.0,Working,Academic degree,Married,House / apartment,34.5,9.3,0,0,1,3,0,0
M,Y,N,1,45500.0,Commercial associate,Secondary,Separated,House / apartment,45.2,14.0,0,1,1,2,1,1
M,N,Y,2,137800.0,Pensioner,Secondary,Married,House / apartment,35.9,0.0,0,1,0,3,1,0
M,N,Y,0,68800.0,Working,Academic degree,Married,With parents,32.9,0.4,0,1,0,1,2,0
F,Y,Y,2,27500.0,Commercial associate,Higher education,Single,House / apartment,38.8,3.3,0,0,1,3,2,1
M,Y,Y,0,72800.0,Working,Academic degree,Married,Co-op apartment,42.7,2.3,0,1,1,2,1,1
M,N,Y,1,59400.0,Pensioner,Lower secondary,Married,House / apartment,54.3,0.0,0,1,1,3,1,0
F,Y,N,0,81000.0,Working,Secondary,Married,House / apartment,34.5,0.4,1,0,0,1,2,0
M,N,N,0,55100.0,Pensioner,Higher education,Married,House / apartment,21.0,0.0,0,1,1,2,0,1
M,N,Y,1,139200.0,Pensioner,Secondary,Civil marriage,House / apartment,37.8,0.0,0,0,1,3,0,0
M,N,Y,0,67700.0,Working,Secondary,Single,House / apartment,42.8,16.4,1,1,0,1,1,0
F,Y,N,0,65800.0,Working,Higher education,Married,House / apartment,42.0,6.4,1,1,1,2,4,0
F,N,Y,2,62400.0,Working,Secondary,Married,House / apartment,37.2,3.0,1,1,1,4,0,0
M,Y,N,0,92700.0,Pensioner,Higher education,Separated,House / apartment,50.4,0.0,1,1,0,1,0,0
F,Y,Y,1,89100.0,Working,Higher education,Married,House / apartment,43.4,5.0,1,1,0,2,0,0
F,N,N,1,60100.0,Commercial associate,Secondary,Married,House / apartment,46.6,3.2,1,1,0,3,1,0
M,Y,Y,0,74000.0,Pensioner,Higher education,Widow,Municipal apartment,21.0,0.0,0,0,1,1,1,1
F,N,Y,0,64400.0,Working,Secondary,Separated,House / apartment,38.1,15.7,0,1,1,1,2,0
M,N,Y,2,111800.0,Commercial associate,Secondary,Married,Municipal apartment,38.5,5.9,0,1,0,4,1,0
M,Y,Y,0,38400.0,Working,Higher education,Married,House / apartment,58.5,3.5,0,1,1,2,1,0
F,N,N,0,61700.0,Working,Secondary,Married,House / apartment,38.8,3.5,1,1,0,1,1,1
F,N,N,0,66300.0,Pensioner,Higher education,Married,House / apartment,32.7,0.0,1,0,0,1,1,0
F,N,N,1,146900.0,Working,Secondary,Single,House / apartment,32.1,1.2,1,1,0,3,0,0
M,N,Y,1,131600.0,Working,Secondary,Married,House / apartment,50.8,3.2,0,0,1,3,1,0
M,N,N,0,89000.0,Pensioner,Higher education,Married,House / apartment,33.6,0.0,0,1,0,2,0,0
F,N,Y,1,44500.0,Working,Secondary,Married,House / apartment,30.6,0.5,0,0,0,3,2,1
M,N,N,1,,State servant,Secondary,Separated,House / apartment,50.1,4.5,1,1,1,2,2,0
M,N,Y,0,187200.0,State servant,Secondary,Married,House / apartment,44.3,2.9,0,0,1,1,2,0
F,N,Y,1,67900.0,Working,Incomplete higher,Married,House / apartment,37.4,7.6,0,1,1,3,0,0
M,N,N,1,78000.0,Working,Secondary,Widow,House / apartment,25.4,25.9,1,1,1,2,0,0
F,Y,N,0,80300.0,Commercial associate,Higher education,Married,House / apartment,46.1,11.8,0,1,0,1,0,0
M,Y,N,1,47800.0,Working,Secondary,Married,With parents,49.1,3.5,0,1,0,2,1,1
F,N,Y,0,48800.0,Working,Secondary,Married,House / apartment,29.5,2.8,1,1,0,1,1,0
M,Y,N,0,48800.0,Commercial associate,Incomplete higher,Married,House / apartment,44.0,5.3,0,0,0,2,1,0
F,N,N,0,63000.0,Working,,Married,With parents,38.9,0.6,0,1,0,2,0,1
F,N,N,0,91200.0,Pensioner,Secondary,Married,House / apartment,30.3,0.0,1,1,1,1,0,0
M,Y,Y,0,79600.0,Working,Higher education,Married,House / apartment,35.1,23.8,1,0,1,2,0,0
F,N,N,1,94200.0,Working,Higher education,Married,House / apartment,39.5,15.4,0,0,1,3,0,0
F,Y,Y,2,215400.0,Working,,Married,House / apartment,25.5,6.5,0,0,0,3,0,0
F,N,Y,1,267600.0,State servant,Secondary,Married,House / apartment,46.3,4.2,1,0,0,3,3,0
F,Y,Y,0,76600.0,Commercial associate,Higher education,Married,House / apartment,32.2,7.4,1,1,1,2,2,0
F,N,N,0,116000.0,Pensioner,Higher education,Married,House / apartment,32.6,0.0,1,1,0,1,0,0
F,N,Y,1,101700.0,Working,Higher education,Separated,House / apartment,45.6,11.5,0,1,0,3,1,0
M,N,Y,1,125300.0,Working,Secondary,Married,House / apartment,35.0,0.9,0,0,0,3,1,0
M,Y,N,0,123100.0,Working,Academic degree,Married,House / apartment,37.6,9.8,1,1,1,1,1,0
M,N,Y,1,56200.0,Working,Secondary,Single,With parents,38.8,12.1,0,1,0,3,0,0
